symbol,t,o,h,l,c,v,n,vw
DEMOA,2026-01-02T14:30:00Z,100.00,100.20,99.80,100.00,1000,10,100.00
DEMOB,2026-01-02T14:30:00Z,100.00,100.10,99.90,100.00,1000,10,100.00
DEMOA,2026-01-02T15:30:00Z,100.00,100.20,99.80,100.00,1000,10,100.00
DEMOB,2026-01-02T15:30:00Z,100.00,100.10,99.90,100.00,1000,10,100.00
DEMOA,2026-01-02T16:30:00Z,100.00,100.20,99.80,100.00,1000,10,100.00
DEMOB,2026-01-02T16:30:00Z,100.00,100.10,99.90,100.00,1000,10,100.00
DEMOA,2026-01-02T17:30:00Z,100.00,100.20,99.80,100.00,1000,10,100.00
DEMOB,2026-01-02T17:30:00Z,100.00,100.10,99.90,100.00,1000,10,100.00
DEMOA,2026-01-02T18:30:00Z,100.00,100.20,99.80,100.00,1000,10,100.00
DEMOB,2026-01-02T18:30:00Z,100.00,100.10,99.90,100.00,1000,10,100.00
DEMOA,2026-01-02T19:30:00Z,100.00,100.20,94.80,95.00,1000,10,95.00
DEMOB,2026-01-02T19:30:00Z,100.00,100.10,99.90,100.00,1000,10,100.00
DEMOA,2026-01-02T20:30:00Z,95.00,98.20,94.80,98.00,1000,10,98.00
DEMOB,2026-01-02T20:30:00Z,100.00,100.10,99.90,100.00,1000,10,100.00
DEMOA,2026-01-05T14:30:00Z,98.00,100.20,97.80,100.00,1000,10,100.00
DEMOB,2026-01-05T14:30:00Z,100.00,100.10,99.90,100.00,1000,10,100.00
DEMOA,2026-01-05T15:30:00Z,100.00,105.20,99.80,105.00,1000,10,105.00
DEMOB,2026-01-05T15:30:00Z,100.00,100.10,99.90,100.00,1000,10,100.00
DEMOA,2026-01-05T16:30:00Z,105.00,105.20,101.80,102.00,1000,10,102.00
DEMOB,2026-01-05T16:30:00Z,100.00,100.10,99.90,100.00,1000,10,100.00
DEMOA,2026-01-05T17:30:00Z,102.00,102.20,99.80,100.00,1000,10,100.00
DEMOB,2026-01-05T17:30:00Z,100.00,100.10,99.90,100.00,1000,10,100.00
DEMOA,2026-01-05T18:30:00Z,100.00,100.20,99.80,100.00,1000,10,100.00
DEMOB,2026-01-05T18:30:00Z,100.00,100.10,99.90,100.00,1000,10,100.00
